"obs_n";"study_id";"study_name";"effect";"se";"t_stat";"est_agg_city";"est_agg_subregion";"est_agg_region";"est_agg_country";"est_agg_continent";"n_obs";"regressands";"reg_df";"study_size";"years_of_schooling";"years_of_experience";"schooling_years";"schooling_levels";"wage_log_hourly";"wage_log_daily";"wage_log_monthly";"wage_mean_annual_earnings";"data_type_micro";"data_type_survey";"data_type_national_register";"data_cross_section";"data_panel";"data_avgyear";"no_ed";"prim_ed";"sec_ed";"higher_ed";"wage_earners";"self_employed";"gender_male";"gender_female";"private_sector";"public_sector";"ethnicity_caucasian";"ethnicity_other";"sector_rural";"sector_urban";"country";"region_advanced_economies";"region_east_asia_and_pacific";"region_europe_and_central_asia";"region_latin_america_and_caribbean";"region_middle_east_and_north_africa";"region_south_asia";"region_sub_saharan_africa";"income_high";"income_middle";"income_low";"med_exp";"min_wage";"freedom_index";"mean_age";"method_ols";"method_cohort_fe";"method_2sls";"method_heckman";"method_probit";"method_IV";"ability_direct";"ability_proxy";"ability_uncontrolled";"ability_unmentioned";"instr_parents_ed";"instr_distance_to_school";"instr_other";"age_control";"age_sq_control";"exp_control";"exp_sq_control";"ethnicity_control";"health_control";"gender_control";"marriage_control";"occupation_control";"firm_char_control";"area_control";"macro_var_control";"impact_factor";"citations";"published";"unpublished";"pub_year";"X"
17;2;"Bartolj et al. (2013)";4.98110015079052;1.69373137667654;2.94090327390905;0;0;0;1;0;85247;6;85240;48;16;18.08;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
18;2;"Bartolj et al. (2013)";8.33125256061731;0.290432312494952;28.6856944017278;0;0;0;1;0;85247;6;85240;48;18;18.08;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
19;2;"Bartolj et al. (2013)";10.4483409526713;0.755471373812358;13.8302274776415;0;0;0;1;0;85247;6;85240;48;20;18.08;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
20;2;"Bartolj et al. (2013)";7.70257033912614;4.28969211778058;1.79559980708157;0;0;0;1;0;85247;6;85240;48;22;18.08;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
21;2;"Bartolj et al. (2013)";5.88072498102174;1.24880383296908;4.70908626780882;0;0;0;1;0;85247;6;85240;48;16;18.08;0;1;0;0;0;1;0;0;1;0;1;2006;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10461";"1029";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
22;2;"Bartolj et al. (2013)";7.4305815657685;0.225221345001611;32.9923505505899;0;0;0;1;0;85247;6;85240;48;18;18.08;0;1;0;0;0;1;0;0;1;0;1;2006;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10461";"1029";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
23;2;"Bartolj et al. (2013)";7.69289212987991;0.467035501583663;16.4717502283964;0;0;0;1;0;85247;6;85240;48;20;18.08;0;1;0;0;0;1;0;0;1;0;1;2006;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10461";"1029";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
24;2;"Bartolj et al. (2013)";7.65954335620771;0.868073175114387;8.82361484698384;0;0;0;1;0;85247;6;85240;48;22;18.08;0;1;0;0;0;1;0;0;1;0;1;2006;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10461";"1029";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
25;2;"Bartolj et al. (2013)";4.31144313306102;1.01094790701645;4.26475301361978;0;0;0;1;0;85247;6;85240;48;16;18.08;0;1;0;0;0;1;0;0;1;0;1;2008;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"11381";"1040";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
26;2;"Bartolj et al. (2013)";6.8385160164647;0.168853976462803;40.4995852612991;0;0;0;1;0;85247;6;85240;48;18;18.08;0;1;0;0;0;1;0;0;1;0;1;2008;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"11381";"1040";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
