"obs_n";"study_id";"study_name";"effect";"se";"t_stat";"est_agg_city";"est_agg_region";"est_agg_country";"n_obs";"regressands";"reg_df";"study_size";"years_of_schooling";"years_of_experience";"schooling_years";"schooling_levels";"wage_log_hourly";"wage_log_daily";"wage_log_monthly_annual";"data_type_survey";"data_type_national_register";"data_cross_section";"data_panel";"data_avgyear";"wage_earners";"self_employed";"gender_male";"gender_female";"white";"non_white";"ethnicity_caucasian";"ethnicity_other";"married";"unmarried";"subjects_identical_twins";"subjects_non_identical_twins";"subjects_not_twins";"country";"income_high";"income_middle";"med_exp";"min_wage";"freedom_index";"mean_age";"method_ols";"method_gls";"method_selection_fe";"method_fd";"method_fdiv";"method_IV";"instr_sibling_ed";"instr_smoking";"instr_other";"age_control";"age_sq_control";"exp_control";"ethnicity_control";"gender_control";"marriage_control";"firm_char_control";"area_control";"macro_var_control";"impact_factor";"citations";"published";"unpublished";"pub_year";"X"
14;1;"Ashenfelter & Rouse (1998)";6.6;1.9;3.47368421052632;1;0;0;335;5;329;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.092;908;1;0;4;"X"
15;1;"Ashenfelter & Rouse (1998)";6.7;2;3.35;1;0;0;297;5;291;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.092;908;1;0;4;"X"
16;1;"Ashenfelter & Rouse (1998)";8.9;3.3;2.6969696969697;1;0;0;52;5;46;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.092;908;1;0;4;"X"
17;1;"Ashenfelter & Rouse (1998)";8.5;2.3;3.69565217391304;1;0;0;395;4;390;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;3.092;908;1;0;4;"X"
18;1;"Ashenfelter & Rouse (1998)";8.6;2.5;3.44;1;0;0;353;4;348;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;3.092;908;1;0;4;"X"
19;1;"Ashenfelter & Rouse (1998)";7.7;2.6;2.96153846153846;1;0;0;342;4;337;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;3.092;908;1;0;4;"X"
20;1;"Ashenfelter & Rouse (1998)";8.3;2.5;3.32;1;0;0;335;4;330;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;3.092;908;1;0;4;"X"
21;1;"Ashenfelter & Rouse (1998)";8.3;2.7;3.07407407407407;1;0;0;297;4;292;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;3.092;908;1;0;4;"X"
22;1;"Ashenfelter & Rouse (1998)";16.3;4.7;3.46808510638298;1;0;0;52;4;47;22;14.03;8.34;1;0;1;0;0;1;0;0;1;1992;NA;NA;0.41;0.59;"0.92";"7.999999999999996E-2";0;1;"0.64";"0.36";1;0;0;"United States";1;0;25151;1422;0.921;38.07;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;3.092;908;1;0;4;"X"
23;2;"Ashenfelter & Krueger (1994)";8.4;1.4;6;1;0;0;298;5;292;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.007;1812;1;0;0;"X"
24;2;"Ashenfelter & Krueger (1994)";8.7;1.5;5.8;1;0;0;298;5;292;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.007;1812;1;0;0;"X"
25;2;"Ashenfelter & Krueger (1994)";8.8;1.5;5.86666666666667;1;0;0;298;6;291;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.007;1812;1;0;0;"X"
26;2;"Ashenfelter & Krueger (1994)";11.6;3;3.86666666666667;1;0;0;298;6;291;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0;0;0;0;3.007;1812;1;0;0;"X"
27;2;"Ashenfelter & Krueger (1994)";9.2;2.4;3.83333333333333;1;0;0;149;1;147;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.007;1812;1;0;0;"X"
28;2;"Ashenfelter & Krueger (1994)";16.7;4.3;3.88372093023256;1;0;0;149;1;147;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3.007;1812;1;0;0;"X"
29;2;"Ashenfelter & Krueger (1994)";8.7;1.5;5.8;1;0;0;298;5;292;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.007;1812;1;0;0;"X"
30;2;"Ashenfelter & Krueger (1994)";9.4;1.6;5.875;1;0;0;298;5;292;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.007;1812;1;0;0;"X"
31;2;"Ashenfelter & Krueger (1994)";9.8;1.6;6.125;1;0;0;298;6;291;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;3.007;1812;1;0;0;"X"
32;2;"Ashenfelter & Krueger (1994)";11.7;2.6;4.5;1;0;0;149;1;147;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.007;1812;1;0;0;"X"
33;2;"Ashenfelter & Krueger (1994)";10.5;1.6;6.5625;1;0;0;284;10;273;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;3.007;1812;1;0;0;"X"
34;2;"Ashenfelter & Krueger (1994)";10.5;1.6;6.5625;1;0;0;284;11;272;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;3.007;1812;1;0;0;"X"
35;2;"Ashenfelter & Krueger (1994)";14.7;3.4;4.32352941176471;1;0;0;284;11;272;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;0;3.007;1812;1;0;0;"X"
36;2;"Ashenfelter & Krueger (1994)";9.1;2.2;4.13636363636364;1;0;0;147;5;141;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;3.007;1812;1;0;0;"X"
37;2;"Ashenfelter & Krueger (1994)";17;4.1;4.14634146341463;1;0;0;147;4;142;15;14.11;16.45;1;0;1;0;0;1;0;1;0;1991;"0.85";"0.15";0.46;0.54;"0.94";"0.06";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;24597;1426;0.921;36.56;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;3.007;1812;1;0;0;"X"
38;3;"Rouse (1999)";10.5;0.8;13.125;1;0;0;906;5;900;14;14.08;16.48;1;0;1;0;0;1;0;1;0;1993;NA;NA;0.46;0.54;"0.94";"6.0000000000000053E-2";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;25687;1381;0.926;36.56;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0.298;188;1;0;5;"X"
39;3;"Rouse (1999)";10.1;0.9;11.2222222222222;1;0;0;906;5;900;14;14.08;16.48;1;0;1;0;0;1;0;1;0;1993;NA;NA;0.46;0.54;"0.94";"6.0000000000000053E-2";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;25687;1381;0.926;36.56;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0.298;188;1;0;5;"X"
40;3;"Rouse (1999)";7.5;1.7;4.41176470588235;1;0;0;453;1;451;14;14.08;16.48;1;0;1;0;0;1;0;1;0;1993;NA;NA;0.46;0.54;"0.94";"6.0000000000000053E-2";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;25687;1381;0.926;36.56;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.298;188;1;0;5;"X"
41;3;"Rouse (1999)";9.5;2.7;3.51851851851852;1;0;0;453;1;451;14;14.08;16.48;1;0;1;0;0;1;0;1;0;1993;NA;NA;0.46;0.54;"0.94";"6.0000000000000053E-2";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;25687;1381;0.926;36.56;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.298;188;1;0;5;"X"
42;3;"Rouse (1999)";11.1;0.9;12.3333333333333;1;0;0;890;8;881;14;14.08;16.48;1;0;1;0;0;1;0;1;0;1993;NA;NA;0.46;0.54;"0.94";"6.0000000000000053E-2";0;1;"0.45";"0.55000000000000004";1;0;0;"United States";1;0;25687;1381;0.926;36.56;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0.298;188;1;0;5;"X"
